,Player,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2st Serve Points Won,% Service Games Won,Avg. Aces/ Match,Avg. Double Faults/Match,Year,Board_Type,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted
22,Holger Rune,277.9,60.2%,74.0%,55.2%,84.7%,6.7,2.9,2024,serve,,,,,
23,Jack Draper,276.8,58.7%,78.2%,50.5%,84.2%,8.5,3.3,2024,serve,,,,,
24,Frances Tiafoe,276.6,58.3%,75.1%,53.1%,84.1%,8.5,2.5,2024,serve,,,,,
25,Nicolas Jarry,276.5,63.4%,74.5%,49.9%,82.2%,8.9,2.4,2024,serve,,,,,
26,Zhizhen Zhang,276.4,62.9%,73.2%,51.9%,82.6%,7.8,2.0,2024,serve,,,,,
27,Alejandro Tabilo,276.2,64.0%,74.8%,49.1%,83.5%,7.3,2.5,2024,serve,,,,,
28,Jan-Lennard Struff,276.0,58.0%,77.2%,51.0%,84.2%,10.0,4.4,2024,serve,,,,,
29,Felix Auger-Aliassime,275.7,62.3%,74.8%,51.0%,83.7%,8.2,4.3,2024,serve,,,,,
30,Sebastian Korda,275.4,60.3%,74.4%,52.5%,82.3%,7.6,1.7,2024,serve,,,,,
31,Tomas Martin Etcheverry,274.5,65.2%,72.4%,49.9%,81.9%,6.8,1.7,2024,serve,,,,,
32,Cameron Norrie,273.6,64.3%,72.6%,51.6%,82.0%,5.4,2.3,2024,serve,,,,,
33,Denis Shapovalov,273.5,59.5%,77.4%,49.7%,85.3%,7.9,6.3,2024,serve,,,,,
34,Tommy Paul,273.3,61.0%,71.6%,54.9%,81.9%,5.7,1.8,2024,serve,,,,,
35,Aleksandar Kovacevic,273.2,59.1%,75.9%,49.0%,82.5%,10.3,3.6,2024,serve,,,,,
36,Gael Monfils,272.5,60.1%,74.3%,51.3%,82.0%,9.0,4.2,2024,serve,,,,,
37,Jordan Thompson,272.1,60.0%,72.5%,53.3%,80.8%,6.7,1.2,2024,serve,,,,,
38,Arthur Fils,270.5,60.9%,75.1%,49.6%,82.0%,6.3,3.4,2024,serve,,,,,
39,Lorenzo Musetti,270.4,64.9%,70.6%,53.2%,79.7%,3.8,1.8,2024,serve,,,,,
40,Alex Michelsen,270.1,67.8%,69.5%,51.0%,79.5%,4.7,2.4,2024,serve,,,,,
41,Borna Coric,270.0,61.3%,72.1%,51.5%,80.7%,6.7,2.3,2024,serve,,,,,
42,Aleksandar Vukic,269.7,59.4%,73.7%,50.0%,79.4%,9.0,1.8,2024,serve,,,,,
43,Marcos Giron,269.5,60.3%,73.1%,51.2%,81.2%,5.1,1.4,2024,serve,,,,,
44,Christopher O'Connell,268.9,59.1%,73.7%,49.4%,81.2%,7.5,2.0,2024,serve,,,,,
45,Alejandro Davidovich Fokina,268.6,67.3%,68.0%,52.1%,78.6%,5.2,2.6,2024,serve,,,,,
46,Dusan Lajovic,268.4,70.3%,67.8%,50.2%,78.7%,2.5,1.1,2024,serve,,,,,
47,Yannick Hanfmann,267.8,67.2%,68.0%,51.8%,77.9%,4.8,1.9,2024,serve,,,,,
48,Roberto Bautista Agut,267.7,68.0%,67.6%,52.9%,78.8%,2.5,2.1,2024,serve,,,,,
49,Jakub Mensik,267.5,59.0%,74.5%,46.9%,80.5%,10.7,4.1,2024,serve,,,,,
50,Juncheng Shang,267.5,61.6%,70.7%,53.2%,79.9%,4.6,2.5,2024,serve,,,,,
1,Alex de Minaur,,,,,,,,2024,return,165.6,33.0%,55.9%,31.6%,45.1%
2,Carlos Alcaraz,,,,,,,,2024,return,162.2,34.4%,54.3%,30.8%,42.7%
3,Jannik Sinner,,,,,,,,2024,return,158.4,31.7%,56.1%,28.3%,42.3%
4,Novak Djokovic,,,,,,,,2024,return,157.7,32.6%,54.7%,29.0%,41.4%
5,Tommy Paul,,,,,,,,2024,return,157.2,33.8%,52.2%,28.6%,42.6%
6,Mariano Navone,,,,,,,,2024,return,156.9,33.4%,51.9%,28.5%,43.1%
7,Daniil Medvedev,,,,,,,,2024,return,156.5,32.2%,52.8%,27.5%,44.0%
8,Sebastian Baez,,,,,,,,2024,return,152.6,33.2%,51.1%,27.4%,40.9%
9,Jaume Munar,,,,,,,,2024,return,151.1,34.5%,51.6%,27.3%,37.7%
10,Jack Draper,,,,,,,,2024,return,149.3,29.7%,51.0%,24.8%,43.8%
11,Facundo Diaz Acosta,,,,,,,,2024,return,147.7,31.7%,50.9%,25.1%,40.0%
12,Tomas Machac,,,,,,,,2024,return,147.5,29.4%,51.5%,24.3%,42.3%
13,David Goffin,,,,,,,,2024,return,147.4,30.7%,51.1%,26.2%,39.4%
14,Francisco Cerundolo,,,,,,,,2024,return,147.2,31.3%,49.8%,24.1%,42.0%
15,Pedro Martinez,,,,,,,,2024,return,144.5,29.1%,52.7%,23.2%,39.5%
16,Matteo Arnaldi,,,,,,,,2024,return,144.3,31.4%,48.3%,23.8%,40.8%
17,Alexandre Muller,,,,,,,,2024,return,144.1,27.4%,53.4%,23.7%,39.6%
18,Casper Ruud,,,,,,,,2024,return,143.7,29.6%,50.3%,23.8%,40.0%
19,Alex Michelsen,,,,,,,,2024,return,142.4,28.6%,50.2%,22.5%,41.1%
20,Roberto Bautista Agut,,,,,,,,2024,return,142.2,27.0%,53.1%,21.0%,41.1%
21,Dusan Lajovic,,,,,,,,2024,return,142.1,29.2%,50.0%,22.7%,40.2%
22,Alejandro Davidovich Fokina,,,,,,,,2024,return,141.4,29.1%,50.3%,22.6%,39.4%
23,Fabian Marozsan,,,,,,,,2024,return,141.3,27.5%,51.4%,21.4%,41.0%
24,Nuno Borges,,,,,,,,2024,return,141.1,28.7%,52.6%,21.3%,38.5%
25,Sebastian Korda,,,,,,,,2024,return,140.9,28.3%,52.1%,22.2%,38.3%
26,Karen Khachanov,,,,,,,,2024,return,140.9,27.5%,51.9%,21.7%,39.8%
27,Alexander Zverev,,,,,,,,2024,return,140.3,29.5%,51.4%,22.3%,37.1%
28,Cameron Norrie,,,,,,,,2024,return,140.2,28.9%,49.6%,21.9%,39.8%
29,Luciano Darderi,,,,,,,,2024,return,139.6,28.4%,50.7%,21.4%,39.1%
30,Alexander Shevchenko,,,,,,,,2024,return,139.0,28.4%,50.5%,19.9%,40.2%
31,Grigor Dimitrov,,,,,,,,2024,return,138.9,28.8%,51.1%,21.6%,37.4%
32,Felix Auger-Aliassime,,,,,,,,2024,return,138.8,30.6%,47.1%,20.2%,40.9%
33,Flavio Cobolli,,,,,,,,2024,return,138.6,27.0%,50.3%,21.3%,40.0%
34,Tomas Martin Etcheverry,,,,,,,,2024,return,138.4,27.9%,50.9%,21.9%,37.7%
35,Lorenzo Musetti,,,,,,,,2024,return,138.4,28.5%,51.5%,21.5%,36.9%
36,Ugo Humbert,,,,,,,,2024,return,138.3,28.7%,50.1%,21.8%,37.7%
37,Arthur Fils,,,,,,,,2024,return,138.0,29.4%,48.4%,20.3%,39.9%
38,Jakub Mensik,,,,,,,,2024,return,138.0,27.2%,50.5%,20.1%,40.2%
39,Stefanos Tsitsipas,,,,,,,,2024,return,137.9,27.9%,47.8%,21.5%,40.7%
40,Botic van de Zandschulp,,,,,,,,2024,return,137.9,28.9%,50.5%,21.2%,37.3%
41,Roberto Carballes Baena,,,,,,,,2024,return,137.5,29.9%,50.7%,21.2%,35.7%
42,Pavel Kotov,,,,,,,,2024,return,137.3,27.6%,48.4%,20.2%,41.1%
43,Andrey Rublev,,,,,,,,2024,return,136.0,28.2%,51.9%,20.4%,35.5%
44,Alejandro Tabilo,,,,,,,,2024,return,136.0,26.7%,50.7%,19.4%,39.2%
45,Taylor Fritz,,,,,,,,2024,return,135.6,27.5%,49.6%,20.0%,38.5%
46,Sebastian Ofner,,,,,,,,2024,return,135.3,27.7%,47.1%,18.3%,42.2%
47,Miomir Kecmanovic,,,,,,,,2024,return,135.1,27.0%,51.0%,19.8%,37.3%
48,Alexander Bublik,,,,,,,,2024,return,134.9,29.4%,46.2%,19.5%,39.8%
49,Thiago Seyboth Wild,,,,,,,,2024,return,134.2,26.9%,47.0%,18.3%,42.0%
50,Yoshihito Nishioka,,,,,,,,2024,return,134.0,25.2%,50.0%,19.5%,39.3%
1,Hubert Hurkacz,295.2,63.9%,79.6%,50.4%,88.0%,15.3,2.0,2023,serve,,,,,
2,Matteo Berrettini,292.4,65.0%,79.2%,51.0%,89.5%,9.4,1.7,2023,serve,,,,,
3,Novak Djokovic,291.8,64.0%,77.1%,57.3%,89.1%,7.2,2.9,2023,serve,,,,,
4,Stefanos Tsitsipas,291.3,63.9%,78.2%,55.1%,88.6%,7.7,2.2,2023,serve,,,,,
5,Nicolas Jarry,290.6,65.1%,76.8%,53.9%,87.8%,9.1,2.1,2023,serve,,,,,
6,Christopher Eubanks,289.7,68.8%,73.9%,52.4%,85.6%,12.1,3.1,2023,serve,,,,,
7,Quentin Halys,288.5,59.2%,79.9%,51.7%,88.1%,13.5,3.9,2023,serve,,,,,
8,Thanasi Kokkinakis,287.6,63.8%,76.2%,51.4%,87.1%,11.7,2.6,2023,serve,,,,,
9,Taylor Fritz,286.4,59.3%,78.6%,54.7%,86.7%,9.4,2.3,2023,serve,,,,,
10,Alexander Zverev,283.0,70.5%,73.9%,49.2%,84.4%,7.9,2.9,2023,serve,,,,,
11,Jannik Sinner,282.9,59.7%,75.8%,55.9%,87.1%,6.2,1.8,2023,serve,,,,,
12,Tallon Griekspoor,282.8,63.2%,76.5%,51.5%,86.2%,8.8,3.4,2023,serve,,,,,
13,Giovanni Mpetshi Perricard,281.9,63.2%,76.2%,50.3%,84.0%,13.6,5.4,2023,serve,,,,,
14,Ben Shelton,281.9,63.9%,76.0%,51.5%,84.5%,10.5,4.5,2023,serve,,,,,
15,Carlos Alcaraz,281.3,65.8%,72.1%,56.2%,85.2%,4.2,2.2,2023,serve,,,,,
16,Sebastian Korda,281.2,62.3%,74.3%,53.8%,84.1%,9.1,2.4,2023,serve,,,,,
17,Frances Tiafoe,281.2,59.7%,76.6%,53.2%,85.7%,8.2,2.2,2023,serve,,,,,
18,Jordan Thompson,280.4,59.5%,74.5%,55.5%,83.8%,8.3,1.2,2023,serve,,,,,
19,Karen Khachanov,279.8,63.5%,74.0%,53.2%,84.0%,7.0,1.9,2023,serve,,,,,
20,Alexei Popyrin,279.8,61.6%,76.5%,49.7%,84.4%,10.6,3.0,2023,serve,,,,,
21,Brandon Nakashima,279.0,65.1%,74.8%,50.8%,83.5%,6.9,2.1,2023,serve,,,,,
22,Andrey Rublev,277.7,61.5%,75.3%,51.2%,84.0%,7.7,2.0,2023,serve,,,,,
23,Lorenzo Sonego,277.2,65.9%,72.7%,52.4%,82.7%,5.5,2.0,2023,serve,,,,,
24,Grigor Dimitrov,276.6,61.1%,76.6%,51.0%,83.9%,7.4,3.4,2023,serve,,,,,
25,Alex Michelsen,276.4,67.9%,69.7%,54.3%,81.3%,5.2,2.0,2023,serve,,,,,
26,Jack Draper,276.1,59.8%,75.9%,50.3%,84.8%,7.9,2.6,2023,serve,,,,,
27,Felix Auger-Aliassime,276.0,60.2%,78.1%,49.1%,84.4%,9.0,4.8,2023,serve,,,,,
28,Daniil Medvedev,275.9,64.1%,75.4%,48.9%,84.5%,7.1,4.1,2023,serve,,,,,
29,Stan Wawrinka,275.6,56.2%,76.2%,53.8%,83.4%,7.9,1.9,2023,serve,,,,,
30,Arthur Rinderknech,275.1,62.2%,75.9%,48.4%,82.8%,8.9,3.1,2023,serve,,,,,
31,Tomas Martin Etcheverry,274.0,63.8%,71.4%,52.8%,81.4%,6.3,1.7,2023,serve,,,,,
32,Casper Ruud,274.0,63.3%,71.4%,53.7%,83.1%,5.3,2.8,2023,serve,,,,,
33,Jan-Lennard Struff,273.3,58.9%,75.1%,50.4%,82.8%,9.7,3.6,2023,serve,,,,,
34,Tommy Paul,273.2,62.3%,72.2%,52.9%,81.5%,6.6,2.3,2023,serve,,,,,
35,Roberto Bautista Agut,272.8,66.2%,69.3%,55.1%,80.1%,3.9,1.8,2023,serve,,,,,
36,Roman Safiullin,272.5,63.6%,73.2%,51.8%,81.5%,5.9,3.5,2023,serve,,,,,
37,Zhizhen Zhang,272.2,63.8%,72.2%,51.2%,80.5%,6.7,2.2,2023,serve,,,,,
38,Marcos Giron,272.0,62.2%,73.1%,51.6%,81.1%,5.4,1.4,2023,serve,,,,,
39,Jiri Lehecka,271.8,64.7%,71.8%,51.5%,80.8%,5.3,2.3,2023,serve,,,,,
40,Holger Rune,271.7,61.9%,72.4%,52.9%,83.0%,5.5,4.0,2023,serve,,,,,
41,Benjamin Bonzi,271.1,61.6%,72.5%,51.4%,80.7%,7.3,2.4,2023,serve,,,,,
42,Ugo Humbert,270.9,60.3%,74.2%,51.0%,81.4%,6.7,2.7,2023,serve,,,,,
43,Yannick Hanfmann,270.7,67.4%,67.5%,53.7%,78.7%,5.0,1.6,2023,serve,,,,,
44,Cameron Norrie,270.6,64.6%,70.3%,52.9%,80.2%,4.9,2.3,2023,serve,,,,,
45,Dominic Thiem,270.4,60.9%,72.0%,52.9%,82.1%,5.4,2.9,2023,serve,,,,,
46,Gregoire Barrere,270.3,61.0%,70.6%,54.8%,81.5%,4.6,2.2,2023,serve,,,,,
47,Christopher O'Connell,269.9,62.2%,73.2%,49.2%,80.3%,6.9,1.9,2023,serve,,,,,
48,Laslo Djere,269.8,60.9%,71.9%,52.3%,81.4%,6.1,2.8,2023,serve,,,,,
49,Arthur Fils,269.6,61.1%,74.0%,49.6%,81.8%,6.3,3.2,2023,serve,,,,,
50,Alexander Bublik,269.5,59.3%,78.9%,45.7%,81.9%,11.3,7.6,2023,serve,,,,,
1,Daniil Medvedev,,,,,,,,2023,return,163.3,33.0%,54.2%,30.1%,46.0%
2,Novak Djokovic,,,,,,,,2023,return,159.3,33.2%,54.8%,29.2%,42.1%
3,Carlos Alcaraz,,,,,,,,2023,return,159.0,34.6%,53.9%,30.7%,39.8%
4,Alex de Minaur,,,,,,,,2023,return,157.1,33.3%,52.1%,28.6%,43.1%
5,Jannik Sinner,,,,,,,,2023,return,156.5,32.0%,54.4%,28.2%,41.9%
6,Jack Draper,,,,,,,,2023,return,154.7,30.1%,52.5%,27.5%,44.6%
7,Alejandro Davidovich Fokina,,,,,,,,2023,return,154.6,30.8%,52.9%,26.3%,44.6%
8,Adrian Mannarino,,,,,,,,2023,return,154.3,29.3%,52.1%,25.6%,47.3%
9,Lorenzo Musetti,,,,,,,,2023,return,152.5,31.9%,51.4%,26.2%,43.0%
10,Bernabe Zapata Miralles,,,,,,,,2023,return,152.2,32.6%,50.8%,27.2%,41.6%
11,Francisco Cerundolo,,,,,,,,2023,return,151.6,33.0%,51.2%,27.8%,39.6%
12,Sebastian Baez,,,,,,,,2023,return,151.3,31.4%,52.5%,26.6%,40.8%
13,Mackenzie McDonald,,,,,,,,2023,return,149.5,29.2%,53.5%,23.8%,43.0%
14,Jaume Munar,,,,,,,,2023,return,149.4,32.8%,49.0%,25.7%,41.9%
15,Pedro Martinez,,,,,,,,2023,return,147.5,29.1%,50.4%,24.0%,44.0%
16,Cameron Norrie,,,,,,,,2023,return,147.0,30.9%,51.0%,25.2%,39.9%
17,Taylor Fritz,,,,,,,,2023,return,146.2,28.4%,53.0%,22.7%,42.1%
18,Andrey Rublev,,,,,,,,2023,return,146.1,29.8%,52.7%,24.6%,39.0%
19,Grigor Dimitrov,,,,,,,,2023,return,146.0,30.0%,51.3%,24.1%,40.6%
20,Karen Khachanov,,,,,,,,2023,return,146.0,30.3%,51.3%,23.5%,40.9%
21,Juan Pablo Varillas,,,,,,,,2023,return,145.4,29.7%,52.1%,22.4%,41.2%
22,Roman Safiullin,,,,,,,,2023,return,145.3,28.6%,50.5%,21.8%,44.4%
23,Dusan Lajovic,,,,,,,,2023,return,144.7,29.9%,50.4%,22.3%,42.1%
24,Diego Schwartzman,,,,,,,,2023,return,144.7,30.3%,49.6%,23.4%,41.4%
25,Marton Fucsovics,,,,,,,,2023,return,144.6,30.3%,50.3%,22.0%,42.0%
26,Flavio Cobolli,,,,,,,,2023,return,144.1,32.3%,47.2%,23.9%,40.7%
27,Albert Ramos-Vinolas,,,,,,,,2023,return,144.0,29.3%,50.2%,22.4%,42.1%
28,Tommy Paul,,,,,,,,2023,return,143.0,30.2%,51.3%,24.1%,37.4%
29,Casper Ruud,,,,,,,,2023,return,142.9,30.2%,50.8%,23.3%,38.6%
30,Roberto Carballes Baena,,,,,,,,2023,return,142.0,27.6%,51.1%,22.0%,41.3%
31,Gael Monfils,,,,,,,,2023,return,142.0,30.8%,47.5%,24.1%,39.6%
32,Cristian Garin,,,,,,,,2023,return,141.1,29.7%,49.8%,22.9%,38.7%
33,Miomir Kecmanovic,,,,,,,,2023,return,140.7,27.8%,51.1%,21.7%,40.1%
34,Emil Ruusuvuori,,,,,,,,2023,return,140.7,28.2%,50.4%,21.2%,40.9%
35,Matteo Arnaldi,,,,,,,,2023,return,140.3,27.4%,51.3%,19.9%,41.7%
36,Alex Molcan,,,,,,,,2023,return,140.3,28.2%,49.7%,21.8%,40.6%
37,Alexander Zverev,,,,,,,,2023,return,140.1,28.9%,51.8%,23.0%,36.4%
38,Botic van de Zandschulp,,,,,,,,2023,return,139.8,31.4%,50.0%,22.6%,35.8%
39,Denis Shapovalov,,,,,,,,2023,return,139.6,29.5%,48.3%,21.1%,40.7%
40,Frances Tiafoe,,,,,,,,2023,return,139.5,27.4%,51.2%,22.2%,38.7%
41,Alexander Shevchenko,,,,,,,,2023,return,139.3,27.4%,49.2%,21.4%,41.3%
42,Richard Gasquet,,,,,,,,2023,return,139.2,27.2%,49.8%,19.6%,42.6%
43,Yannick Hanfmann,,,,,,,,2023,return,138.8,31.4%,49.5%,21.6%,36.3%
44,Holger Rune,,,,,,,,2023,return,138.8,28.8%,49.3%,21.4%,39.3%
45,J.J. Wolf,,,,,,,,2023,return,138.7,27.7%,48.9%,20.1%,42.0%
46,Alexandre Muller,,,,,,,,2023,return,138.3,29.7%,47.9%,19.4%,41.3%
47,Tomas Martin Etcheverry,,,,,,,,2023,return,137.9,30.0%,50.0%,21.7%,36.2%
48,Yoshihito Nishioka,,,,,,,,2023,return,137.9,26.3%,51.6%,21.3%,38.7%
49,Sebastian Korda,,,,,,,,2023,return,137.7,25.9%,51.3%,19.8%,40.7%
50,Ugo Humbert,,,,,,,,2023,return,137.5,28.9%,50.3%,22.3%,36.0%
1,John Isner,314.0,68.4%,80.7%,53.5%,91.7%,22.4,2.7,2022,serve,,,,,
2,Nick Kyrgios,308.1,68.0%,78.8%,55.9%,92.9%,15.9,3.4,2022,serve,,,,,
3,Reilly Opelka,307.1,65.2%,79.5%,57.8%,90.8%,15.9,2.1,2022,serve,,,,,
4,Hubert Hurkacz,299.1,63.4%,78.2%,55.3%,90.5%,13.3,1.6,2022,serve,,,,,
5,Matteo Berrettini,292.0,64.0%,78.3%,51.6%,87.8%,12.4,2.1,2022,serve,,,,,
6,Nicolas Jarry,291.8,64.5%,81.2%,49.0%,87.0%,12.4,2.3,2022,serve,,,,,
7,Novak Djokovic,290.7,65.6%,77.2%,56.2%,87.7%,5.9,1.9,2022,serve,,,,,
8,Maxime Cressy,289.3,61.6%,78.3%,54.4%,88.8%,14.5,8.3,2022,serve,,,,,
9,Ben Shelton,286.6,58.6%,79.0%,54.3%,89.5%,10.0,4.8,2022,serve,,,,,
10,Stefanos Tsitsipas,286.6,63.1%,76.5%,55.2%,86.3%,7.6,2.1,2022,serve,,,,,
11,Felix Auger-Aliassime,286.1,64.7%,77.1%,50.4%,86.3%,11.0,3.4,2022,serve,,,,,
12,Casper Ruud,284.1,65.3%,74.8%,54.9%,85.3%,5.9,2.1,2022,serve,,,,,
13,Taylor Fritz,283.1,61.9%,76.2%,52.6%,84.2%,10.4,2.2,2022,serve,,,,,
14,Daniil Medvedev,283.1,64.0%,76.5%,51.0%,86.4%,9.2,4.0,2022,serve,,,,,
15,Brandon Nakashima,283.0,64.5%,74.9%,53.4%,84.4%,7.4,1.6,2022,serve,,,,,
16,Marin Cilic,282.5,58.8%,78.4%,51.5%,85.7%,11.5,3.4,2022,serve,,,,,
17,Arthur Rinderknech,281.2,65.7%,74.9%,48.7%,84.1%,9.6,1.8,2022,serve,,,,,
18,Thiago Monteiro,281.0,66.2%,72.7%,54.5%,82.5%,6.5,1.4,2022,serve,,,,,
19,Alexander Zverev,280.5,70.2%,74.6%,47.9%,84.1%,7.4,3.7,2022,serve,,,,,
20,Andrey Rublev,280.1,61.7%,76.5%,51.3%,84.8%,7.9,2.1,2022,serve,,,,,
21,Denis Shapovalov,279.2,61.7%,76.6%,52.8%,85.1%,8.7,5.7,2022,serve,,,,,
22,Nuno Borges,279.1,64.5%,70.4%,57.4%,84.4%,5.2,2.8,2022,serve,,,,,
23,Carlos Alcaraz,278.7,65.7%,71.9%,55.4%,84.4%,3.9,2.6,2022,serve,,,,,
24,Pablo Carreno Busta,278.5,66.5%,70.5%,56.5%,82.8%,4.0,1.8,2022,serve,,,,,
25,Rafael Nadal,277.9,64.9%,73.0%,55.0%,83.7%,4.9,3.6,2022,serve,,,,,
26,Steve Johnson,276.2,56.7%,77.1%,52.6%,83.9%,9.7,3.8,2022,serve,,,,,
27,Lorenzo Sonego,275.7,68.4%,71.6%,50.3%,81.2%,6.0,1.8,2022,serve,,,,,
28,Karen Khachanov,275.4,64.0%,73.1%,51.1%,82.0%,7.8,2.6,2022,serve,,,,,
29,Jack Draper,275.1,58.8%,75.6%,50.9%,84.7%,8.2,3.1,2022,serve,,,,,
30,Gael Monfils,274.7,60.3%,75.1%,51.9%,83.5%,7.4,3.5,2022,serve,,,,,
31,Roberto Bautista Agut,274.6,66.1%,71.5%,53.6%,82.3%,2.8,1.7,2022,serve,,,,,
32,Grigor Dimitrov,274.3,62.9%,75.0%,51.3%,82.4%,5.6,2.9,2022,serve,,,,,
33,Benjamin Bonzi,273.6,60.1%,73.9%,53.0%,83.1%,6.0,2.5,2022,serve,,,,,
34,Holger Rune,273.3,64.0%,72.2%,53.1%,83.1%,4.4,3.5,2022,serve,,,,,
35,Jannik Sinner,272.4,58.1%,74.5%,53.2%,83.2%,6.3,2.9,2022,serve,,,,,
36,Jan-Lennard Struff,271.9,57.1%,75.3%,51.6%,81.6%,10.1,3.8,2022,serve,,,,,
37,Cameron Norrie,271.2,65.3%,71.4%,51.0%,80.9%,4.6,2.0,2022,serve,,,,,
38,Matteo Arnaldi,270.8,66.9%,71.2%,49.5%,80.4%,5.8,3.0,2022,serve,,,,,
39,Frances Tiafoe,270.3,57.3%,73.7%,51.8%,81.5%,8.4,2.4,2022,serve,,,,,
40,Tallon Griekspoor,270.0,62.2%,72.3%,51.0%,80.5%,7.1,3.1,2022,serve,,,,,
41,Alexander Bublik,268.7,59.3%,78.4%,43.5%,81.1%,13.0,6.6,2022,serve,,,,,
42,Miomir Kecmanovic,268.7,62.9%,69.2%,55.1%,79.3%,3.7,1.5,2022,serve,,,,,
43,Adrian Mannarino,268.2,60.3%,70.8%,54.4%,79.5%,5.4,2.2,2022,serve,,,,,
44,Lorenzo Musetti,267.6,64.8%,69.4%,53.5%,78.5%,3.5,2.1,2022,serve,,,,,
45,Tomas Machac,267.6,63.1%,66.4%,55.5%,79.2%,5.7,2.3,2022,serve,,,,,
46,Sebastian Korda,267.1,62.9%,70.4%,50.4%,79.9%,5.9,2.4,2022,serve,,,,,
47,Andy Murray,266.8,59.9%,74.2%,49.4%,79.4%,6.6,2.7,2022,serve,,,,,
48,Laslo Djere,266.4,61.2%,72.7%,49.1%,81.0%,6.2,3.8,2022,serve,,,,,
49,Oscar Otte,266.4,56.6%,76.3%,48.8%,80.5%,8.3,4.1,2022,serve,,,,,
50,Alexei Popyrin,265.8,61.0%,73.0%,47.0%,79.9%,8.9,4.0,2022,serve,,,,,
1,Diego Schwartzman,,,,,,,,2022,return,163.5,35.3%,54.0%,31.5%,42.7%
2,Rafael Nadal,,,,,,,,2022,return,162.6,34.2%,53.9%,31.0%,43.5%
3,Novak Djokovic,,,,,,,,2022,return,160.1,33.0%,56.0%,28.6%,42.5%
4,Carlos Alcaraz,,,,,,,,2022,return,158.6,34.0%,53.4%,30.8%,40.4%
5,Alex de Minaur,,,,,,,,2022,return,158.3,33.1%,52.6%,28.6%,44.0%
6,Mikael Ymer,,,,,,,,2022,return,158.2,33.8%,52.2%,29.6%,42.6%
7,Alejandro Tabilo,,,,,,,,2022,return,157.8,33.2%,52.1%,29.0%,43.5%
8,Daniil Medvedev,,,,,,,,2022,return,154.7,31.7%,53.9%,26.7%,42.4%
9,Francisco Cerundolo,,,,,,,,2022,return,154.1,32.7%,52.4%,27.6%,41.4%
10,Cameron Norrie,,,,,,,,2022,return,154.1,31.1%,52.6%,26.7%,43.7%
11,Alexander Zverev,,,,,,,,2022,return,154.1,32.7%,50.0%,26.1%,45.3%
12,Jannik Sinner,,,,,,,,2022,return,153.4,32.3%,53.0%,26.7%,41.4%
13,Gael Monfils,,,,,,,,2022,return,152.6,33.5%,50.6%,27.7%,40.8%
14,Jenson Brooksby,,,,,,,,2022,return,151.9,32.3%,49.8%,26.1%,43.7%
